Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity
HATS-67 b,960.109,0.374,2193,460.8535,18.887,3821,1.6091788,0.057
HATS-68 b,603.955,0.856,1741,410.0007,13.809,1521,3.5862202,0.036
HATS-69 b,414.537,0.46,1296,183.38791,10.593,466.6,2.2252577,0.519
HATS-70 b,1458.83,6.64,2730,4100.007,15.513,9110,1.8882378,0.18
HATS-72 b,127.589,0.411,739,39.85588,8.097,49.58,7.3279474,0.013
HATS-74 A b,299.389,1.64,895,464.02947,11.568,106.9,1.73185606,0.044
HATS-75 b,194.964,0.878,772,156.05375,9.909,59.26,2.7886556,0.064
HATS-76 b,385.689,2.58,940,835.57088,12.094,129.8,1.9416423,0.062
HATS-77 b,436.176,1.077,828,436.69623,13.058,78.37,3.0876262,0.045
HD 110113 b,106.307,2.9,1371,4.55,2.05,735.49,2.541,0.093
HD 118203 b,92.2589,1.83,1494,688.41633,12.733,755.3,6.134985,0.314
HD 135694 b,73.8713,2,815,5.7,2.51,73.7,15.92346,0.42
HD 136352 b,14.682,7.8,911,4.62,1.482,114,11.57779,0.079
HD 136352 c,14.682,2.49767,677,11.24,2.916,35.1,27.59221,0
HD 136352 d,14.682,2.87811,431,8.82,2.562,5.74,107.245,0
HD 1397 b,79.5702,0.477,1228,131.89945,11.5,356,11.53533,0.251
HD 183579 b,57.2651,2.39,769,19.7,3.55,58.1,17.471278,0.28
HD 18599 b,38.5653,7.1,863,25.5,2.7,145,4.137437,0.2
HD 191939 b,53.6089,1.4,880,10,3.41,100,8.8803256,0.031
HD 191939 c,53.6089,1.35,600,8,3.195,21,28.579743,0.034
HD 191939 d,53.6089,0.57,540,2.8,2.995,14.3,38.353037,0.031
HD 202772 A b,161.498,0.343,2132,323.23311,17.318,3440,3.308958,0.038
HD 20329 b,63.6796,8.06,2141,7.42,1.72,3474,0.926118,0
HD 207496 b,23.606,3.17,743,6.1,2.25,72.9,6.441008,0.231
HD 207897 b,28.2938,5.05,632,14.4,2.501,26.5,16.202159,0.047
HD 219134 b,6.53127,6.34,1015,4.74,1.602,176.2,3.092926,0
HD 219134 c,6.53127,6.95,782,4.36,1.511,62.1,6.76458,0.062
HD 23472 b,39.0341,6.15,543,8.32,2,16,17.667087,0.072
HD 23472 c,39.0341,3.1,467,3.41,1.87,7.96,29.79749,0.063
HD 23472 d,39.0341,7.5,909,0.55,0.75,117,3.97664,0.07
HD 23472 e,39.0341,7.5,723,0.72,0.818,46.7,7.90754,0.07
HD 23472 f,39.0341,3,630,0.77,1.137,26.3,12.1621839,0.07
HD 25463 b,45.6181,2.6,1290,8.5,2.62,461.4,7.049144,0
HD 25463 c,45.6181,7.1,1707,4.1,1.5,1413.5,3.04405,0
HD 260655 b,10.0055,6.2,709,2.14,1.24,42.2,2.76953,0.039
HD 260655 c,10.0055,4.7,557,3.09,1.533,16.1,5.70588,0.038
HD 3167 b,47.2899,5.6,1774,4.97,1.67,1650,0.959641,0
HD 3167 c,47.2899,2.11,564,11.13,3,16.9,29.8454,0.06
HD 332231 b,80.6665,0.464,876,77.55052,9.718,98.09,18.71204,0.032
HD 42813 b,68.192,0.8,755,5.8,3.36,54.1,13.63083,0
HD 5278 b,57.5846,2.9,943,7.8,2.45,132,14.339156,0.08
HD 6061 b,67.6203,4,1194,10.8,2.45,339.1,5.254467,0
HD 63935 b,48.9739,2.2,911,10.8,2.99,115.6,9.058811,0
HD 63935 c,48.9739,2.5,684,11.1,2.9,36.7,21.4023,0
HD 73583 b,31.5666,2.58,714,10.2,2.79,43.3,6.398042,0.09
HD 73583 c,31.5666,6.1,518,22.5,2.73,11.76,18.8805,0.093
HD 80653 b,109.86,7.47,2463,5.72,1.613,6130,0.719573,0
HD 95338 b,36.9941,3.98,385,42.44,3.89,7.42,55.087,0.197
HIP 116454 b,62.4491,3.41,745,10.1,2.53,51.4,9.0949,0.089
HIP 65 A b,61.7856,0.48,1411,1021.18779,22.754,661,0.9809734,0
HIP 8152 b,101.694,2.5,855,7.8,2.56,88.9,10.75101,0.14
HIP 8152 c,101.694,3.4,699,9.4,2.48,39.9,19.6053,0.28
HIP 9618 b,67.5478,0.9,685,8.4,3.75,36.8,20.77288,0.13
HIP 9618 c,67.5478,1.2,503,7.9,3.34,10.7,52.5636,0.12
K2-100 b,188.959,2.04,1841,21.8,3.88,1915,1.6739035,0
K2-108 b,477.295,2.22,1446,59.4,5.28,762,4.73401,0.18
K2-110 b,116.474,5.02,638,15.9,2.592,27.7,13.86375,0.13
K2-111 b,200.394,5,1309,5.58,1.82,490,5.3518,0.1
K2-114 b,475.758,3.08,701,638.8351,10.447,40,11.3909311,0.081
K2-12 b,326.381,1.6,1026,5.2,2.44,185,8.28246,0.5
K2-131 b,152.509,8.8,2223,7.9,1.69,4070,0.3693038,0
K2-136 b,59.2474,24,610,4.3,1.014,33.5,7.9752,0.14
K2-136 c,59.2474,3.69,470,18.1,3,11.91,17.30713,0.047
K2-136 d,59.2474,4.3,420,3,1.565,7.07,25.575,0.071
K2-140 b,347.917,0.66,962,295.58042,13.563,204,6.569188,0
K2-141 b,61.8736,7.93,2103,4.97,1.51,3260,0.2803244,0
K2-141 c,61.8736,0.081,695,8,7,39.1,7.7485,0.092
K2-167 b,80.8994,2.87,1174,6.5,2.3,317,9.97748,0.47
K2-180 b,203.896,5.6,729,11.44182,2.242,67,8.8665,0
K2-182 b,154.83,5.6,969,20,2.69,146.9,4.7369683,0.04
K2-199 b,107.518,7.2,913,6.9,1.73,116.2,3.2253993,0.02
K2-199 c,107.518,2.9,694,12.4,2.85,38.6,7.3744897,0.03
K2-216 b,115.461,8.2,1103,8,1.75,248,2.1748,0
K2-222 b,101.321,3.68,871,8.7,2.35,96,15.38857,0.16
K2-237 b,314.995,0.562,1828,433.20012,16.197,1860,2.18053539,0.042
K2-24 b,170.562,0.63,767,21,5.68,60,20.8851,0
K2-24 c,170.562,0.31,606,27,7.82,24,42.3633,0
K2-261 b,213.283,0.43,1030,67.69745,9.505,180,11.633478,0.248
K2-263 b,162.481,5.8,470,14.9,2.41,8.17,50.818947,0.15
K2-266 d,77.5586,2.03,538,8.9,2.93,13.95,14.697,0.047
K2-266 e,77.5586,2.21,490,14.3,2.73,9.58,19.482,0.043
K2-27 b,249.645,1.87,902,30.9,4.48,116,6.771315,0.251
K2-285 b,154.961,3.07,1089,9.68,2.59,234.31,3.471745,0
K2-285 c,154.961,1.95,741,15.68,3.53,50.35,7.138048,0
