Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity,Gravity,esi,Habbitable accourding to esi
Kepler-138 c,66.8624,3.6,410,2.3,1.51,6.8,13.7815,0.017,9.885531336,0.45682631,Unhabbitable
Kepler-138 d,66.8624,3.6,345,2.1,1.51,3.4,23.0923,0.01,9.025919916,0.59017988,Unhabbitable
Kepler-1514 b,397.292,4.82,388,1678.1424,12.42,3.23,217.83184,0.401,106.6133757,0.26062504,Unhabbitable
Kepler-1654 b,568.117,1.2,206,158.915,9.18,0.3,1047.8356,0.26,18.48015483,0.32080459,Unhabbitable
Kepler-1655 b,213.26,2.72,938,5.4,2.213,129.1,11.8728787,0.19,10.80580205,0.25399254,Unhabbitable
Kepler-1661 b,410.607,1.6,243,17,3.87,0.88,175.06,0.057,11.12379731,0.57300033,Unhabbitable
Kepler-1704 b,835.455,4.07,254,1322.16617,11.949,0.34,988.88112,0.92,90.75049325,0.37129808,Unhabbitable
Kepler-1876 b,259.935,19,1299,2.4,0.853,475,6.99205,0.098,32.3250537,0.29366715,Unhabbitable
Kepler-19 b,218.562,3.1,851,6.1,2.209,87.6,9.28699,0.41,12.25080082,0.2567577,Unhabbitable
Kepler-20 b,282.563,9.4,1187,9.7,1.773,331,3.6961049,0.083,30.23989917,0.27005684,Unhabbitable
Kepler-20 c,282.563,2.51,828,11.1,2.894,78.7,10.8540774,0.076,12.98829072,0.22968739,Unhabbitable
Kepler-20 d,282.563,4.1,430,13.4,2.606,5.71,77.611455,0.082,19.33668628,0.41281715,Unhabbitable
Kepler-20 e,282.563,7.5,1004,0.76,0.821,169.8,6.0984882,0.092,11.04977294,0.29775091,Unhabbitable
Kepler-20 f,282.563,8.4,681,1.4,0.952,35.9,19.578328,0.094,15.1384083,0.33119244,Unhabbitable
Kepler-21 b,108.522,9.3,2015,7.5,1.639,2749,2.7858212,0,27.36084035,0.27295833,Unhabbitable
Kepler-22 b,194.642,5.2,279,9.1,2.1,1.01,289.863876,0.72,20.22222222,0.7216326,Habbitable
Kepler-323 b,454.883,8.2,1838,3.9,1.381,1900,1.678328,0.095,20.04025879,0.2846549,Unhabbitable
Kepler-323 c,454.883,9.6,1431,6.8,1.57,700,3.5538229,0.095,27.03557954,0.27774365,Unhabbitable
Kepler-37 b,63.9207,140,718,0.79,0.31,44.5,13.36702,0.098,80.56191467,0.22723961,Unhabbitable
Kepler-37 c,63.9207,15,615,1.3,0.755,23.9,21.301848,0.099,22.34989693,0.34032187,Unhabbitable
Kepler-37 d,63.9207,1.3,499,2,2.03,10.39,39.7922622,0.1,4.756242568,0.36577954,Unhabbitable
